titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Forrest Gump;05-oct-94;Romance, Drame, Comédie;2h 20min;Robert Zemeckis;Tom Hanks, Gary Sinise, Robin Wright;américain;Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump.;United International Pictures (UIP);10 prix et 21 nominations;28/08/2001;3 935 948 entrées;55 000 000 $;86499;2,6;4,6;5 critiques;108130 notes dont 3189 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=10568.html
La Ligne verte;01-mars-00;Fantastique, Policier;3h 09min;Frank Darabont;Tom Hanks, Michael Clarke Duncan, David Morse;américain;Paul Edgecomb, pensionnaire centenaire d'une maison de retraite, est hanté par ses souvenirs. Gardien-chef du pénitencier de Cold Mountain en 1935, il était chargé de veiller au bon déroulement des exécutions capitales en s’efforçant d'adoucir les derniers moments des condamnés. Parmi eux se trouvait un colosse du nom de John Coffey, accusé du viol et du meurtre de deux fillettes. Intrigué par cet homme candide et timide aux dons magiques, Edgecomb va tisser avec lui des liens très forts.;United International Pictures (UIP);6 nominations;05/12/2000;1 714 474 entrées;60 000 000 $;99168;2,8;4,6;25 critiques;96126 notes dont 2763 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=22779.html
La Liste de Schindler;02-mars-94;Historique, Guerre;3h 15min;Steven Spielberg;Liam Neeson, Ben Kingsley, Ralph Fiennes;américain;Evocation des années de guerre d'Oskar Schindler, fils d'industriel d'origine autrichienne rentré à Cracovie en 1939 avec les troupes allemandes. Il va, tout au long de la guerre, protéger des juifs en les faisant travailler dans sa fabrique et en 1944 sauver huit cents hommes et trois cents femmes du camp d'extermination de Auschwitz-Birkenau.;Universal Pictures International France;17 prix et 14 nominations;09/03/2004;2 651 078 entrées;25 000 000 $;-;4,2;4,6;5 critiques;57233 notes dont 1905 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=9393.html
Le Parrain;18-oct-72;Policier, Drame;2h 55min;Francis Ford Coppola;Marlon Brando, Al Pacino, James Caan;américain;"En 1945, à New York, les Corleone sont une des cinq familles de la mafia. Don Vito Corleone, ""parrain"" de cette famille, marie sa fille à un bookmaker. Sollozzo, "" parrain "" de la famille Tattaglia, propose à Don Vito une association dans le trafic de drogue, mais celui-ci refuse. Sonny, un de ses fils, y est quant à lui favorable.Afin de traiter avec Sonny, Sollozzo tente de faire tuer Don Vito, mais celui-ci en réchappe. Michael, le frère cadet de Sonny, recherche alors les commanditaires de l'attentat et tue Sollozzo et le chef de la police, en représailles.Michael part alors en Sicile, où il épouse Apollonia, mais celle-ci est assassinée à sa place. De retour à New York, Michael épouse Kay Adams et se prépare à devenir le successeur de son père...";Park Circus France;2 prix et 5 nominations;11/05/2004;4 025 064 entrées;6 000 000 $;39917;4,6;4,5;10 critiques;50123 notes dont 1860 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=1628.html
12 hommes en colère;04-sept-57;Drame;1h 35min;Sidney Lumet;Henry Fonda, Martin Balsam, John Fiedler;américain;Un jeune homme d'origine modeste est accusé du meurtre de son père et risque la peine de mort. Le jury composé de douze hommes se retire pour délibérer et procède immédiatement à un vote : onze votent coupable, or la décision doit être prise à l'unanimité. Le juré qui a voté non-coupable, sommé de se justifier, explique qu'il a un doute et que la vie d'un homme mérite quelques heures de discussion. Il s'emploie alors à les convaincre un par un.;Carlotta Films;2 prix et 12 nominations;18/10/2007;-;$ 340 000;19677;5;4,5;7 critiques;17311 notes dont 809 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=4063.html
Les Evadés;01-mars-95;Drame;2h 20min;Frank Darabont;Tim Robbins, Morgan Freeman, Bob Gunton;américain;En 1947, Andy Dufresne, un jeune banquier, est condamné à la prison à vie pour le meurtre de sa femme et de son amant. Ayant beau clamer son innocence, il est emprisonné à Shawshank, le pénitencier le plus sévère de l'Etat du Maine. Il y fait la rencontre de Red, un Noir désabusé, détenu depuis vingt ans. Commence alors une grande histoire d'amitié entre les deux hommes...;ARP / UGC;9 nominations;21/12/1999;-;25 000 000 $;-;3,2;4,5;5 critiques;51721 notes dont 1881 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=11736.html
Le Seigneur des anneaux : le retour du roi;17-déc-03;Fantastique, Aventure;3h 21min;Peter Jackson;Sean Astin, Elijah Wood, Viggo Mortensen;néo-zélandais;Les armées de Sauron ont attaqué Minas Tirith, la capitale de Gondor. Jamais ce royaume autrefois puissant n'a eu autant besoin de son roi. Mais Aragorn trouvera-t-il en lui la volonté d'accomplir sa destinée ?Tandis que Gandalf s'efforce de soutenir les forces brisées de Gondor, Théoden exhorte les guerriers de Rohan à se joindre au combat. Mais malgré leur courage et leur loyauté, les forces des Hommes ne sont pas de taille à lutter contre les innombrables légions d'ennemis qui s'abattent sur le royaume...Chaque victoire se paye d'immenses sacrifices. Malgré ses pertes, la Communauté se jette dans la bataille pour la vie, ses membres faisant tout pour détourner l'attention de Sauron afin de donner à Frodon une chance d'accomplir sa quête.Voyageant à travers les terres ennemies, ce dernier doit se reposer sur Sam et Gollum, tandis que l'Anneau continue de le tenter...;Warner Bros. France;22 prix et 9 nominations;25/05/2004;7 256 353 entrées;94 000 000 $;109443;3,8;4,5;18 critiques;111576 notes dont 3577 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=39187.html
The Dark Knight, Le Chevalier Noir;13-août-08;Action, Thriller;2h 32min;Christopher Nolan;Christian Bale, Heath Ledger, Aaron Eckhart;britannique;Dans ce nouveau volet, Batman augmente les mises dans sa guerre contre le crime. Avec l'appui du lieutenant de police Jim Gordon et du procureur de Gotham, Harvey Dent, Batman vise à éradiquer le crime organisé qui pullule dans la ville. Leur association est très efficace mais elle sera bientôt bouleversée par le chaos déclenché par un criminel extraordinaire que les citoyens de Gotham connaissent sous le nom de Joker.;Warner Bros. France;6 prix et 22 nominations;13/02/2009;3 005 625 entrées;180 000 000 $;121053;4;4,5;21 critiques;91952 notes dont 6461 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=115362.html
Your Name;28-déc-16;Animation, Fantastique;1h 50min;Makoto Shinkai;Yoann Borg, Alice Orsat, Fanny Blanchard;japonais;Mitsuha, adolescente coincée dans une famille traditionnelle, rêve de quitter ses montagnes natales pour découvrir la vie trépidante de Tokyo. Elle est loin d’imaginer pouvoir vivre l’aventure urbaine dans la peau de… Taki, un jeune lycéen vivant à Tokyo, occupé entre son petit boulot dans un restaurant italien et ses nombreux amis. À travers ses rêves, Mitsuha se voit littéralement propulsée dans la vie du jeune garçon au point qu’elle croit vivre la réalité... Tout bascule lorsqu’elle réalise que Taki rêve également d’une vie dans les montagnes, entouré d’une famille traditionnelle… dans la peau d’une jeune fille ! Une étrange relation s’installe entre leurs deux corps qu’ils accaparent mutuellement. Quel mystère se cache derrière ces rêves étranges qui unissent deux destinées que tout oppose et qui ne se sont jamais rencontrées ?;Eurozoom;3 nominations;22/11/2017;250 859 entrées;-;145591;4;4,5;25 critiques;11135 notes dont 632 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=249877.html
Vol au-dessus d'un nid de coucou;01-mars-76;Drame;2h 09min;Milos Forman;Michael Berryman, Dean R. Brooks, Jack Nicholson;américain;Rebellion dans un hôpital psychiatrique à l'instigation d'un malade qui se révolte contre la dureté d'une infirmière.;Splendor Films;16 prix et 10 nominations;30/09/1998;4 785 680 entrées;4,4 000 000 $;45633;5;4,5;5 critiques;37994 notes dont 1365 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2072.html
Pulp Fiction;26-oct-94;Policier, Thriller;2h 29min;Quentin Tarantino;John Travolta, Samuel L. Jackson, Uma Thurman;américain;L'odyssée sanglante et burlesque de petits malfrats dans la jungle de Hollywood à travers trois histoires qui s'entremêlent.;Bac Films;5 prix et 24 nominations;20/08/2002;2 839 267 entrées;8 000 000 $;86 325;4,4;4,5;7 critiques;92466 notes dont 3543 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=10126.html
Le Seigneur des anneaux : la communauté de l'anneau;19-déc-01;Fantastique, Aventure;2h 58min;Peter Jackson;Elijah Wood, Sean Astin, Ian McKellen;néo-zélandais;Dans ce chapitre de la trilogie, le jeune et timide Hobbit, Frodon Sacquet, hérite d'un anneau. Bien loin d'être une simple babiole, il s'agit de l'Anneau Unique, un instrument de pouvoir absolu qui permettrait à Sauron, le Seigneur des ténèbres, de régner sur la Terre du Milieu et de réduire en esclavage ses peuples. À moins que Frodon, aidé d'une Compagnie constituée de Hobbits, d'Hommes, d'un Magicien, d'un Nain, et d'un Elfe, ne parvienne à emporter l'Anneau à travers la Terre du Milieu jusqu'à la Crevasse du Destin, lieu où il a été forgé, et à le détruire pour toujours. Un tel périple signifie s'aventurer très loin en Mordor, les terres du Seigneur des ténèbres, où est rassemblée son armée d'Orques maléfiques... La Compagnie doit non seulement combattre les forces extérieures du mal mais aussi les dissensions internes et l'influence corruptrice qu'exerce l'Anneau lui-même.L'issue de l'histoire à venir est intimement liée au sort de la Compagnie.;Warner Bros. France;8 prix et 22 nominations;27/03/2003;6 827 834 entrées;90 000 000 $;104293;3,7;4,5;17 critiques;96786 notes dont 2939 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=27070.html
Le Roi Lion;23-nov-94;Animation, Aventure, Musical;1h 29min;Roger Allers, Rob Minkoff;Emmanuel Curtil, Dimitri Rougeul, Jean Reno;américain;Sur les Hautes terres d’Afrique règne un lion tout-puissant, le roi Mufasa, que tous les hôtes de la jungle respectent et admirent pour sa sagesse et sa générosité. Son jeune fils Simba sait qu’un jour il lui succèdera, conformément aux lois universelles du cycle de la vie, mais il est loin de deviner les épreuves et les sacrifices que lui imposera l’exercice du pouvoir. Espiègle, naïf et turbulent, le lionceau passe le plus clair de son temps à jouer avec sa petite copine Nala et à taquiner Zazu, son digne précepteur. Son futur royaume lui apparaît en songe comme un lieu enchanté où il fera bon vivre, s’amuser et donner des ordres. Cependant, l’univers de Simba n’est pas aussi sûr qu’il le croie. Scar, le frère de Mufasa, aspire en effet depuis toujours au trône. Maladivement jaloux de son aîné, il intrigue pour l’éliminer en même temps que son successeur. Misant sur la curiosité enfantine et le tempérament aventureux de Simba, il révèle à celui-ci l’existence d’un mystérieux et dangereux cimetière d’éléphants. Simba, oubliant les avertissements répétés de son père, s’y rend aussitôt en secret avec Nala et se fait attaquer par 3 hyènes féroces. Par chance, Mufasa arrive à temps pour sauver l’imprudent lionceau et sa petite compagne. Mais Scar ne renonce pas à ses sinistres projets. Aidé des 3 hyènes, il attire Simba dans un ravin et lance à sa poursuite un troupeau de gnous. N’écoutant que son courage, Mufasa sauve à nouveau son fils et tente de se mettre à l’abri en gravissant la falaise. Repoussé par son frère félon, il périt sous les sabots des gnous affolés. Scar blâme alors l’innocent Simba pour la mort du Roi et le persuade de quitter pour toujours les Hautes terres. Simba se retrouve pour la première fois seul et démuni face à un monde hostile. C’est alors que le destin place sur sa route un curieux tandem d’amis...;Gaumont Buena Vista International (GBVI);4 prix et 3 nominations;15/10/2003;10 137 385 entrées;45 000 000 $;85818;3,4;4,5;8 critiques;68613 notes dont 1804 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=10862.html
Django Unchained;16-janv-13;Western;2h 44min;Quentin Tarantino;Jamie Foxx, Christoph Waltz, Leonardo DiCaprio;américain;Dans le sud des États-Unis, deux ans avant la guerre de Sécession, le Dr King Schultz, un chasseur de primes allemand, fait l’acquisition de Django, un esclave qui peut l’aider à traquer les frères Brittle, les meurtriers qu’il recherche. Schultz promet à Django de lui rendre sa liberté lorsqu’il aura capturé les Brittle – morts ou vifs.Alors que les deux hommes pistent les dangereux criminels, Django n’oublie pas que son seul but est de retrouver Broomhilda, sa femme, dont il fut séparé à cause du commerce des esclaves…Lorsque Django et Schultz arrivent dans l’immense plantation du puissant Calvin Candie, ils éveillent les soupçons de Stephen, un esclave qui sert Candie et a toute sa confiance. Le moindre de leurs mouvements est désormais épié par une dangereuse organisation de plus en plus proche… Si Django et Schultz veulent espérer s’enfuir avec Broomhilda, ils vont devoir choisir entre l’indépendance et la solidarité, entre le sacrifice et la survie…;Sony Pictures Releasing France;8 prix et 11 nominations;17/05/2013;4 292 940 entrées;ca. 100 000 000 $;134077;4,6;4,5;33 critiques;76356 notes dont 5358 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=190918.html
Gran Torino;25-févr-09;Drame, Thriller;1h 56min;Clint Eastwood;Clint Eastwood, Bee Vang, Ahney Her;américain;"Walt Kowalski est un ancien de la guerre de Corée, un homme inflexible, amer et pétri de préjugés surannés. Après des années de travail à la chaîne, il vit replié sur lui-même, occupant ses journées à bricoler, traînasser et siroter des bières. Avant de mourir, sa femme exprima le voeu qu'il aille à confesse, mais Walt n'a rien à avouer, ni personne à qui parler. Hormis sa chienne Daisy, il ne fait confiance qu'à son M-1, toujours propre, toujours prêt à l'usage...Ses anciens voisins ont déménagé ou sont morts depuis longtemps. Son quartier est aujourd'hui peuplé d'immigrants asiatiques qu'il méprise, et Walt ressasse ses haines, innombrables - à l'encontre de ses voisins, des ados Hmong, latinos et afro-américains, de ses propres enfants, devenus pour lui des étrangers. Walt tue le temps comme il peut, en attendant le grand départ, jusqu'au jour où un ado Hmong du quartier tente de lui voler sa précieuse Ford Gran Torino... Walt tient comme à la prunelle de ses yeux à cette voiture fétiche, aussi belle que le jour où il la vit sortir de la chaîne.Lorsque le jeune et timide Thao tente de la lui voler sous la pression d'un gang, Walt fait face à la bande, et devient malgré lui le héros du quartier. Sue, la soeur aînée de Thao, insiste pour que ce dernier se rachète en travaillant pour Walt. Surmontant ses réticences, ce dernier confie au garçon des ""travaux d'intérêt général"" au profit du voisinage. C'est le début d'une amitié inattendue, qui changera le cours de leur vie.Grâce à Thao et sa gentille famille, Walt va découvrir le vrai visage de ses voisins et comprendre ce qui le lie à ces exilés, contraints de fuir la violence... comme lui, qui croyait fermer la porte sur ses souvenirs aussi aisément qu'il enfermait au garage sa précieuse Gran Torino...";Warner Bros. France;1 prix et 2 nominations;03/07/2009;3 454 741 entrées;33 000 000 $;122 646;4,7;4,5;28 critiques;72652 notes dont 4429 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=135063.html
Parasite;05-juin-19;Thriller;2h 12min;Bong Joon Ho;Song Kang-Ho, Woo-sik Choi, Park So-Dam;sud-coréen;Toute la famille de Ki-taek est au chômage, et s’intéresse fortement au train de vie de la richissime famille Park. Un jour, leur fils réussit à se faire recommander pour donner des cours particuliers d’anglais chez les Park. C’est le début d’un engrenage incontrôlable, dont personne ne sortira véritablement indemne...;Les Bookmakers / The Jokers;10 prix et 20 nominations;04/12/2019;1 884 582 entrées;-;150985;4,8;4,5;36 critiques;19194 notes dont 1228 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=255238.html
Le Seigneur des anneaux : les deux tours;18-déc-02;Fantastique, Aventure;2h 59min;Peter Jackson;Elijah Wood, Sean Astin, Viggo Mortensen;néo-zélandais;Après la mort de Boromir et la disparition de Gandalf, la Communauté s'est scindée en trois. Perdus dans les collines d'Emyn Muil, Frodon et Sam découvrent qu'ils sont suivis par Gollum, une créature versatile corrompue par l'Anneau. Celui-ci promet de conduire les Hobbits jusqu'à la Porte Noire du Mordor. A travers la Terre du Milieu, Aragorn, Legolas et Gimli font route vers le Rohan, le royaume assiégé de Theoden. Cet ancien grand roi, manipulé par l'espion de Saroumane, le sinistre Langue de Serpent, est désormais tombé sous la coupe du malfaisant Magicien. Eowyn, la nièce du Roi, reconnaît en Aragorn un meneur d'hommes. Entretemps, les Hobbits Merry et Pippin, prisonniers des Uruk-hai, se sont échappés et ont découvert dans la mystérieuse Forêt de Fangorn un allié inattendu : Sylvebarbe, gardien des arbres, représentant d'un ancien peuple végétal dont Saroumane a décimé la forêt...;Warner Bros. France;4 prix et 14 nominations;26/08/2003;7 069 149 entrées;94 000 000 $;106824;4;4,5;20 critiques;93027 notes dont 2541 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=39186.html
Fight Club;10-nov-99;Thriller, Drame;2h 19min;David Fincher;Brad Pitt, Edward Norton, Helena Bonham Carter;américain;Le narrateur, sans identité précise, vit seul, travaille seul, dort seul, mange seul ses plateaux-repas pour une personne comme beaucoup d'autres personnes seules qui connaissent la misère humaine, morale et sexuelle. C'est pourquoi il va devenir membre du Fight club, un lieu clandestin ou il va pouvoir retrouver sa virilité, l'échange et la communication. Ce club est dirigé par Tyler Durden, une sorte d'anarchiste entre gourou et philosophe qui prêche l'amour de son prochain.;Splendor Films;-;18/04/2001;1 092 320 entrées;63 000 000 $;98226;2,7;4,5;22 critiques;86918 notes dont 3704 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=21189.html
Gladiator;20-juin-00;Action, Aventure;2h 35min;Ridley Scott;Russell Crowe, Joaquin Phoenix, Connie Nielsen;britannique;Le général romain Maximus est le plus fidèle soutien de l'empereur Marc Aurèle, qu'il a conduit de victoire en victoire avec une bravoure et un dévouement exemplaires. Jaloux du prestige de Maximus, et plus encore de l'amour que lui voue l'empereur, le fils de MarcAurèle, Commode, s'arroge brutalement le pouvoir, puis ordonne l'arrestation du général et son exécution. Maximus échappe à ses assassins mais ne peut empêcher le massacre de sa famille. Capturé par un marchand d'esclaves, il devient gladiateur et prépare sa vengeance.;United International Pictures (UIP);12 prix et 19 nominations;21/11/2000;4 804 454 entrées;103 000 000 $;99762;4,3;4,5;24 critiques;91800 notes dont 3080 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=24944.html
Il était une fois en Amérique;23-mai-84;Drame, Policier;4h 11min;Sergio Leone;Robert De Niro, James Woods, Elizabeth McGovern;italien;Il était une fois deux truands juifs, Max et Noodles, liés par un pacte d'éternelle amitié. Débutant au début du siècle par de fructueux trafics dans le ghetto de New York, ils voient leurs chemins se séparer, lorsque Noodles se retrouve durant quelques années derrière les barreaux, puis se recouper en pleine période de prohibition, dans les années vingt. Jusqu'au jour où la trahison les sépare à nouveau.;-;2 prix et 9 nominations;31/07/2003;1 244 664 entrées;30 000 000 $;-;4,9;4,5;8 critiques;19678 notes dont 1094 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=1941.html
Interstellar;05-nov-14;Science fiction, Drame;2h 49min;Christopher Nolan;Matthew McConaughey, Anne Hathaway, Michael Caine;britannique;Le film raconte les aventures d’un groupe d’explorateurs qui utilisent une faille récemment découverte dans l’espace-temps afin de repousser les limites humaines et partir à la conquête des distances astronomiques dans un voyage interstellaire.;Warner Bros. France;1 prix et 9 nominations;31/03/2015;2 640 439 entrées;-;140695;3,8;4,5;40 critiques;62928 notes dont 4426 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=114782.html
Green Book : Sur les routes du sud;23-janv-19;Drame, Biopic;2h 10min;Peter Farrelly;Viggo Mortensen, Mahershala Ali, Linda Cardellini;américain;En 1962, alors que règne la ségrégation, Tony Lip, un videur italo-américain du Bronx, est engagé pour conduire et protéger le Dr Don Shirley, un pianiste noir de renommée mondiale, lors d’une tournée de concerts. Durant leur périple de Manhattan jusqu’au Sud profond, ils s’appuient sur le Green Book pour dénicher les établissements accueillant les personnes de couleur, où l’on ne refusera pas de servir Shirley et où il ne sera ni humilié ni maltraité.Dans un pays où le mouvement des droits civiques commence à se faire entendre, les deux hommes vont être confrontés au pire de l’âme humaine, dont ils se guérissent grâce à leur générosité et leur humour. Ensemble, ils vont devoir dépasser leurs préjugés, oublier ce qu’ils considéraient comme des différences insurmontables, pour découvrir leur humanité commune.;Metropolitan FilmExport;7 prix et 12 nominations;23/05/2019;2 055 324 entrées;-;150157;4;4,5;29 critiques;23502 notes dont 1154 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=256661.html
Le Bon, la brute et le truand;08-mars-68;Western;3h 00min;Sergio Leone;Clint Eastwood, Eli Wallach, Lee Van Cleef;italien;Pendant la Guerre de Sécession, trois hommes, préférant s'intéresser à leur profit personnel, se lancent à la recherche d'un coffre contenant 200 000 dollars en pièces d'or volés à l'armée sudiste. Tuco sait que le trésor se trouve dans un cimetière, tandis que Joe connaît le nom inscrit sur la pierre tombale qui sert de cache. Chacun a besoin de l'autre. Mais un troisième homme entre dans la course : Setenza, une brute qui n'hésite pas à massacrer femmes et enfants pour parvenir à ses fins.;Park Circus France;-;28/01/1998;6 333 118 entrées;$ 1 200 000;-;4,1;4,5;8 critiques;38688 notes dont 1629 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=19395.html
Il était une fois dans l'Ouest;27-août-69;Western;2h 55min;Sergio Leone;Henry Fonda, Charles Bronson, Frank Wolff;italien;Alors qu'il prépare une fête pour sa femme, Bet McBain est tué avec ses trois enfants. Jill McBain hérite alors des terres de son mari, terres que convoite Morton, le commanditaire du crime (celles-ci ont de la valeur maintenant que le chemin de fer doit y passer). Mais les soupçons se portent sur un aventurier, Cheyenne...;Splendor Films;-;06/10/2003;14 873 304 entrées;5 000 000 $;-;4;4,5;5 critiques;26306 notes dont 1231 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=2021.html
Coco;15-nov-17;Animation, Fantastique, Famille;1h 45min;Lee Unkrich, Adrian Molina;Andrea Santamaria, Ary Abittan, François-Xavier Demaison;américain;Depuis déjà plusieurs générations, la musique est bannie dans la famille de Miguel. Un vrai déchirement pour le jeune garçon dont le rêve ultime est de devenir un musicien aussi accompli que son idole, Ernesto de la Cruz.Bien décidé à prouver son talent, Miguel, par un étrange concours de circonstances, se retrouve propulsé dans un endroit aussi étonnant que coloré : le Pays des Morts. Là, il se lie d’amitié avec Hector, un gentil garçon mais un peu filou sur les bords. Ensemble, ils vont accomplir un voyage extraordinaire qui leur révèlera la véritable histoire qui se cache derrière celle de la famille de Miguel…;The Walt Disney Company France;7 prix et 1 nomination;04/04/2018;4 505 126 entrées;-;147519;4,1;4,5;31 critiques;24793 notes dont 1156 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=206775.html
Les Affranchis;12-sept-90;Thriller, Drame;2h 25min;Martin Scorsese;Ray Liotta, Robert De Niro, Joe Pesci;américain;Depuis sa plus tendre enfance, Henry Hill, né d'un père irlandais et d'une mère sicilienne, veut devenir gangster et appartenir à la Mafia. Adolescent dans les années cinquante, il commence par travailler pour le compte de Paul Cicero et voue une grande admiration pour Jimmy Conway, qui a fait du détournement de camions sa grande spécialité. Lucide et ambitieux, il contribue au casse des entrepôts de l'aéroport d'Idlewild et épouse Karen, une jeune Juive qu'il trompe régulièrement. Mais son implication dans le trafic de drogue le fera plonger...;Warner Bros. France;7 prix et 16 nominations;21/01/1999;984 089 entrées;25 000 000 $;74397;5;4,5;5 critiques;35395 notes dont 1477 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=5969.html
Star Wars : Episode V - L'Empire contre-attaque;20-août-80;Science fiction, Aventure;2h 04min;Irvin Kershner;Mark Hamill, Harrison Ford, Carrie Fisher;américain;Malgré la destruction de l'Etoile Noire, l'Empire maintient son emprise sur la galaxie, et poursuit sans relâche sa lutte contre l'Alliance rebelle. Basés sur la planète glacée de Hoth, les rebelles essuient un assaut des troupes impériales. Parvenus à s'échapper, la princesse Leia, Han Solo, Chewbacca et C-3P0 se dirigent vers Bespin, la cité des nuages gouvernée par Lando Calrissian, ancien compagnon de Han. Suivant les instructions d'Obi-Wan Kenobi, Luke Skywalker se rend quant à lui vers le système de Dagobah, planète marécageuse où il doit recevoir l'enseignement du dernier maître Jedi, Yoda. Apprenant l'arrestation de ses compagnons par lesde Dark Vador après la trahison de Lando, Luke décide d'interrompre son entraînement pour porter secours à ses amis et affronter le sombre seigneur Sith...;-;1 prix et 7 nominations;24/04/2020;4 051 599 entrées;30 000 000 $;52692;5;4,5;5 critiques;68324 notes dont 1802 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=25802.html
Seven;31-janv-96;Policier, Thriller;2h 10min;David Fincher;Brad Pitt, Morgan Freeman, Gwyneth Paltrow;américain;Pour conclure sa carrière, l'inspecteur Somerset, vieux flic blasé, tombe à sept jours de la retraite sur un criminel peu ordinaire. John Doe, c'est ainsi que se fait appeler l'assassin, a decidé de nettoyer la societé des maux qui la rongent en commettant sept meurtres basés sur les sept pechés capitaux: la gourmandise, l'avarice, la paresse, l'orgueil, la luxure, l'envie et la colère.;Metropolitan FilmExport;3 nominations;26/08/1997;4 944 531 entrées;30 000 000 $;89 118;3,6;4,5;5 critiques;79837 notes dont 2643 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=13892.html
Le Parrain, 2e partie;27-août-75;Policier, Drame;3h 20min;Francis Ford Coppola;Al Pacino, Robert De Niro, Diane Keaton;américain;"Depuis la mort de Don Vito Corleone, son fils Michael règne sur la famille. Amené à négocier avec la mafia juive, il perd alors le soutien d'un de ses lieutenants, Frankie Pentageli. Echappant de justesse à un attentat, Michael tente de retrouver le coupable, soupçonnant Hyman Roth, le chef de la mafia juive.Vito Corleone, immigrant italien, arrive à New York au début du siècle ; très vite, il devient un des caïds du quartier, utilisant la violence comme moyen de régler toutes les affaires. Seul au départ, il bâtit peu à peu un véritable empire, origine de la fortune de la famille des Corleone.";Park Circus France;6 prix et 12 nominations;06/06/2012;1 120 577 entrées;13 000 000 $;43950;4,7;4,5;10 critiques;27300 notes dont 942 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=28201.html
Lion;22-févr-17;Biopic, Drame;1h 58min;Garth Davis;Dev Patel, Rooney Mara, Nicole Kidman;britannique;Une incroyable histoire vraie : à 5 ans, Saroo se retrouve seul dans un train traversant l’Inde qui l’emmène malgré lui à des milliers de kilomètres de sa famille. Perdu, le petit garçon doit apprendre à survivre seul dans l’immense ville de Calcutta. Après des mois d’errance, il est recueilli dans un orphelinat et adopté par un couple d’Australiens.25 ans plus tard, Saroo est devenu un véritable Australien, mais il pense toujours à sa famille en Inde.Armé de quelques rares souvenirs et d’une inébranlable détermination, il commence à parcourir des photos satellites sur Google Earth, dans l’espoir de reconnaître son village.Mais peut-on imaginer retrouver une simple famille dans un pays d’un milliard d’habitants ?;SND;3 prix et 17 nominations;30/06/2017;1 767 630 entrées;-;145948;3,1;4,5;31 critiques;19718 notes dont 902 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=229070.html
Usual Suspects;19-juil-95;Policier, Thriller;1h 46min;Bryan Singer;Chazz Palminteri, Kevin Spacey, Gabriel Byrne;allemand;Suite à une mystérieuse dénonciation, cinq criminels se retrouvent en garde à vue. Plus tard, engagés sur un coup par le génie du crime Keyser Söze, les cinq hommes sont pris au piège d’une diabolique machination…;-;4 prix et 5 nominations;02/04/2002;1 365 105 entrées;6 000 000 $;88129;4,6;4,5;5 critiques;51899 notes dont 2043 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=12837.html
