titre;date;genre;duree;realisateur;acteurs;nationalite;synopsis;distributeur;recompenses;date_sortie_dvd;box_office;budget;visa;note_presse;note_spectateurs;nombre_presse;nombre_spectateurs;url
Ratatouille;01-août-07;Animation, Comédie, Famille;1h 50min;Brad Bird;Guillaume Lebon, Jean-Pierre Marielle, Thierry Ragueneau;américain;Rémy est un jeune rat qui rêve de devenir un grand chef français. Ni l'opposition de sa famille, ni le fait d'être un rongeur dans une profession qui les déteste ne le démotivent. Rémy est prêt à tout pour vivre sa passion de la cuisine... et le fait d'habiter dans les égouts du restaurant ultra coté de la star des fourneaux, Auguste Gusteau, va lui en donner l'occasion ! Malgré le danger et les pièges, la tentation est grande de s'aventurer dans cet univers interdit.Ecartelé entre son rêve et sa condition, Rémy va découvrir le vrai sens de l'aventure, de l'amitié, de la famille... et comprendre qu'il doit trouver le courage d'être ce qu'il est : un rat qui veut être un grand chef...;Buena Vista International;17 prix et 10 nominations;01/02/2008;7 710 427 entrées;150 000 000 $;118152;4,5;4,3;23 critiques;64534 notes dont 2849 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=46211.html
L'Intendant Sansho;05-oct-60;Drame;2h 04min;Kenji Mizoguchi;Kinuyo Tanaka, Yoshiaki Hanayagi, Kyôko Kagawa;japonais;XIe siècle. Un gouverneur de province est exilé pour avoir pris le parti des paysans contre l’avis d’un chef militaire. Contraints de reprendre la route de son village natal, sa femme Nakagimi et ses enfants Anju et Zushio sont kidnappés par des bandits de grand chemin. Nakagimi est déportée sur une île, tandis que les enfants sont vendus comme esclaves à l’intendant Sansho, un propriétaire cruel.;Les Bookmakers / Capricci Films;1 prix et 1 nomination;22/05/2007;-;-;24043;5;4,3;5 critiques;315 notes dont 41 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=27606.html
L'Impasse;23-mars-94;Policier, Drame, Thriller;2h 23min;Brian De Palma;Al Pacino, Sean Penn, Penelope Ann Miller;américain;New-York, 1975. Libéré après 5 années de prison grâce à son avocat véreux, Carlito Brigante, ancienne figure du milieu, rentre chez lui dans le quartier espagnol de Harlem. Il souhaite se réinsérer dans la vie et monter aux Bahamas une affaire honnête avec la femme de sa vie. Mais son passé le rattrape, et ce qui a fait de lui un caïd autrefois risque bien de lui coûter la vie aujourd'hui...;United International Pictures (UIP);2 nominations;27/05/1998;3 084 entrées;30 000 000 $;84935;4,8;4,3;4 critiques;11505 notes dont 833 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=9530.html
Pupille;05-déc-18;Drame;1h 50min;Jeanne Herry;Sandrine Kiberlain, Gilles Lellouche, Élodie Bouchez;belge;Théo est remis à l'adoption par sa mère biologique le jour de sa naissance. C'est un accouchement sous X. La mère à deux mois pour revenir sur sa décision...ou pas. Les services de l'aide sociale à l'enfance et le service adoption se mettent en mouvement. Les uns doivent s'occuper du bébé, le porter (au sens plein du terme) dans ce temps suspendu, cette phase d'incertitude. Les autres doivent trouver celle qui deviendra sa mère adoptante. Elle s'appelle Alice et cela fait dix ans qu'elle se bat pour avoir un enfant. PUPILLE est l'histoire de la rencontre entre Alice, 41 ans, et Théo, trois mois.;StudioCanal;1 prix et 10 nominations;10/04/2019;841 209 entrées;-;147591;4,3;4,3;29 critiques;4424 notes dont 398 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=257881.html
Dofus - Livre 1 : Julith;28-janv-16;Animation;1h 47min;Anthony Roux, Jean-Jacques Denis;Sauvane Delanoe, Emmanuel Gradi, Laetitia Lefebvre;français;Dans la majestueuse cité de Bonta, Joris coule des jours heureux, aux côtés de Kerubim Crépin, son papycha adoptif. Mais tout bascule lorsque Joris, bravant l’interdiction de papycha, tente d’approcher son idole de toujours, la mégastar du Boufbowl, Khan Karkass. De son côté, Julith, la sorcière, revient avec une revanche à prendre et un objectif : anéantir Bonta. Joris et ses amis arriveront-ils à sauver la cité et tous ses habitants ?;Gebeka Films;-;22/06/2016;-;-;138475;2,8;4,3;12 critiques;1704 notes dont 330 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=228533.html
Philadelphia;09-mars-94;Drame;1h 59min;Jonathan Demme;Tom Hanks, Denzel Washington, Mary Steenburgen;américain;Andrew Beckett, brillant avocat, est appelé à une carriere fulgurante. Adulé par son milieu, rien ne semble pouvoir ralentir son ascension. Mais, le jour où ses associés apprennent qu'Andrew est atteint du sida, ils n'hésitent pas à pretexter une faute professionnelle pour justifier son renvoi. Andrew décide de ne pas se laisser faire et attaque le cabinet pour licenciement abusif.;-;4 prix et 4 nominations;07/02/2008;2 750 152 entrées;26 000 000 $;-;3,6;4,3;5 critiques;31534 notes dont 1038 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=9432.html
C'est tout pour moi;29-nov-17;Comédie dramatique;1h 43min;Nawell Madani, Ludovic Colbeau-Justin;Nawell Madani, François Berléand, Mimoun Benabderrahmane;français;Depuis toute petite, Lila veut devenir danseuse, n’en déplaise à son père.Elle débarque à Paris pour réaliser son rêve…Mais de galères en désillusions, elle découvre la réalité d’un monde qui n’est pas prêt à lui ouvrir ses portes.A force d’y croire, Lila se lance dans une carrière d’humoriste.Elle n’a plus qu’une idée en tête : voir son nom en haut de l’affiche, et surtout retrouver la fierté de son père.;UGC Distribution;4 nominations;04/04/2018;693 235 entrées;-;141003;3;4,3;15 critiques;5396 notes dont 1326 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=247040.html
Midnight Express;01-sept-78;Drame;2h 00min;Alan Parker;Brad Davis, Irene Miracle, Bo Hopkins;britannique;Billy Hayes, touriste en Turquie, est arrêté à la frontière avec deux kilogrammes de drogue sur lui. Condamné à quelques jours de prison, le jeune homme découvre que sa peine a été muée en prison à perpétuité par le gouvernement souhaitant faire de son cas un exemple. Désemparé, Billy multiplie les procès et parcourt les prisons les plus sordides.;Columbia Films;9 prix et 14 nominations;08/10/2008;5 973 335 entrées;2 300 000 $;49535;2;4,3;5 critiques;19976 notes dont 882 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=243.html
Le Chant de la Mer;10-déc-14;Animation, Famille, Fantastique;1h 33min;Tomm Moore;Jean Stan Du Pac, Patrick Bethune, Nathalie Homs;français;"Ben et Maïna vivent avec leur père tout en haut d'un phare sur une petite île. Pour les protéger des dangers de la mer, leur grand-mère les emmène vivre à la ville. Ben découvre alors que sa petite soeur est une selkie, une fée de la mer dont le chant peut délivrer les êtres magiques du sort que leur a jeté la Sorcière aux hiboux. Au cours d'un fantastique voyage, Ben et Maïna vont devoir affronter peurs et dangers, et combattre la sorcière pour aider les êtres magiques à retrouver leur pouvoir.";Haut et Court;1 prix et 3 nominations;19/05/2015;307 368 entrées;-;133726;3,9;4,3;20 critiques;1060 notes dont 82 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=226004.html
Ready Player One;28-mars-18;Science fiction, Action;2h 20min;Steven Spielberg;Tye Sheridan, Olivia Cooke, Ben Mendelsohn;américain;2045. Le monde est au bord du chaos. Les êtres humains se réfugient dans l'OASIS, univers virtuel mis au point par le brillant et excentrique James Halliday. Avant de disparaître, celui-ci a décidé de léguer son immense fortune à quiconque découvrira l'œuf de Pâques numérique qu'il a pris soin de dissimuler dans l'OASIS. L'appât du gain provoque une compétition planétaire. Mais lorsqu'un jeune garçon, Wade Watts, qui n'a pourtant pas le profil d'un héros, décide de participer à la chasse au trésor, il est plongé dans un monde parallèle à la fois mystérieux et inquiétant…;Warner Bros. France;2 nominations;08/08/2018;2 268 439 entrées;-;148323;4;4,3;32 critiques;27034 notes dont 1539 critiques;https://www.allocine.fr/film/fichefilm_gen_cfilm=229831.html
